1978Jan,0.06
1978Feb,0.1
1978Mar,0.19
1978Apr,0.17
1978May,0.09
1978Jun,-0.01
1978Jul,0.05
1978Aug,-0.13
1978Sep,0.06
1978Oct,0.03
1978Nov,0.14
1978Dec,0.08
1979Jan,0.09
1979Feb,-0.1
1979Mar,0.19
1979Apr,0.15
1979May,0.04
1979Jun,0.14
1979Jul,0.04
1979Aug,0.17
1979Sep,0.25
1979Oct,0.26
1979Nov,0.29
1979Dec,0.48
1980Jan,0.3
1980Feb,0.4
1980Mar,0.3
1980Apr,0.31
1980May,0.35
1980Jun,0.2
1980Jul,0.22
1980Aug,0.19
1980Sep,0.21
1980Oct,0.13
1980Nov,0.3
1980Dec,0.22
1981Jan,0.53
1981Feb,0.42
1981Mar,0.48
1981Apr,0.33
1981May,0.25
1981Jun,0.29
1981Jul,0.32
1981Aug,0.35
1981Sep,0.15
1981Oct,0.12
1981Nov,0.23
1981Dec,0.41
1982Jan,0.05
1982Feb,0.16
1982Mar,0.03
1982Apr,0.15
1982May,0.18
1982Jun,0.06
1982Jul,0.15
1982Aug,0.04
1982Sep,0.14
1982Oct,0.13
1982Nov,0.18
1982Dec,0.42
1983Jan,0.53
1983Feb,0.43
1983Mar,0.42
1983Apr,0.28
1983May,0.33
1983Jun,0.23
1983Jul,0.18
1983Aug,0.35
1983Sep,0.37
1983Oct,0.16
1983Nov,0.3
1983Dec,0.17
1984Jan,0.31
1984Feb,0.14
1984Mar,0.26
1984Apr,0.06
1984May,0.33
1984Jun,0.02
1984Jul,0.19
1984Aug,0.19
1984Sep,0.21
1984Oct,0.14
1984Nov,0.07
1984Dec,-0.04
1985Jan,0.22
1985Feb,-0.03
1985Mar,0.17
1985Apr,0.12
1985May,0.15
1985Jun,0.15
1985Jul,0.04
1985Aug,0.17
1985Sep,0.13
1985Oct,0.11
1985Nov,0.05
1985Dec,0.13
1986Jan,0.28
1986Feb,0.37
1986Mar,0.3
1986Apr,0.23
1986May,0.21
1986Jun,0.12
1986Jul,0.11
1986Aug,0.16
1986Sep,0.03
1986Oct,0.15
1986Nov,0.11
1986Dec,0.14
1987Jan,0.33
1987Feb,0.43
1987Mar,0.18
1987Apr,0.25
1987May,0.25
1987Jun,0.35
1987Jul,0.4
1987Aug,0.25
1987Sep,0.35
1987Oct,0.32
1987Nov,0.29
1987Dec,0.47
1988Jan,0.57
1988Feb,0.45
1988Mar,0.51
1988Apr,0.43
1988May,0.44
1988Jun,0.4
1988Jul,0.33
1988Aug,0.39
1988Sep,0.36
1988Oct,0.38
1988Nov,0.12
1988Dec,0.28
1989Jan,0.12
1989Feb,0.3
1989Mar,0.36
1989Apr,0.29
1989May,0.17
1989Jun,0.17
1989Jul,0.34
1989Aug,0.34
1989Sep,0.35
1989Oct,0.29
1989Nov,0.19
1989Dec,0.37
1990Jan,0.42
1990Feb,0.44
1990Mar,0.8
1990Apr,0.57
1990May,0.46
1990Jun,0.39
1990Jul,0.46
1990Aug,0.35
1990Sep,0.24
1990Oct,0.45
1990Nov,0.47
1990Dec,0.41
1991Jan,0.43
1991Feb,0.5
1991Mar,0.35
1991Apr,0.51
1991May,0.34
1991Jun,0.53
1991Jul,0.47
1991Aug,0.4
1991Sep,0.44
1991Oct,0.28
1991Nov,0.3
1991Dec,0.32
1992Jan,0.47
1992Feb,0.41
1992Mar,0.48
1992Apr,0.27
1992May,0.3
1992Jun,0.26
1992Jul,0.09
1992Aug,0.08
1992Sep,0
1992Oct,0.06
1992Nov,0.03
1992Dec,0.21
1993Jan,0.34
1993Feb,0.37
1993Mar,0.36
1993Apr,0.28
1993May,0.29
1993Jun,0.23
1993Jul,0.25
1993Aug,0.11
1993Sep,0.12
1993Oct,0.23
1993Nov,0.04
1993Dec,0.18
1994Jan,0.26
1994Feb,0.03
1994Mar,0.3
1994Apr,0.41
1994May,0.28
1994Jun,0.44
1994Jul,0.3
1994Aug,0.22
1994Sep,0.3
1994Oct,0.42
1994Nov,0.45
1994Dec,0.38
1995Jan,0.52
1995Feb,0.79
1995Mar,0.47
1995Apr,0.47
1995May,0.28
1995Jun,0.43
1995Jul,0.46
1995Aug,0.46
1995Sep,0.34
1995Oct,0.48
1995Nov,0.45
1995Dec,0.26
1996Jan,0.23
1996Feb,0.47
1996Mar,0.33
1996Apr,0.32
1996May,0.28
1996Jun,0.26
1996Jul,0.36
1996Aug,0.48
1996Sep,0.26
1996Oct,0.2
1996Nov,0.39
1996Dec,0.37
1997Jan,0.3
1997Feb,0.42
1997Mar,0.52
1997Apr,0.35
1997May,0.36
1997Jun,0.54
1997Jul,0.34
1997Aug,0.43
1997Sep,0.53
1997Oct,0.6
1997Nov,0.64
1997Dec,0.58
1998Jan,0.59
1998Feb,0.88
1998Mar,0.64
1998Apr,0.64
1998May,0.67
1998Jun,0.76
1998Jul,0.68
1998Aug,0.66
1998Sep,0.42
1998Oct,0.43
1998Nov,0.44
1998Dec,0.56
1999Jan,0.49
1999Feb,0.65
1999Mar,0.33
1999Apr,0.33
1999May,0.28
1999Jun,0.36
1999Jul,0.39
1999Aug,0.33
1999Sep,0.39
1999Oct,0.35
1999Nov,0.38
1999Dec,0.41
2000Jan,0.26
2000Feb,0.57
2000Mar,0.55
2000Apr,0.58
2000May,0.36
2000Jun,0.4
2000Jul,0.38
2000Aug,0.43
2000Sep,0.4
2000Oct,0.28
2000Nov,0.31
2000Dec,0.29
2001Jan,0.46
2001Feb,0.45
2001Mar,0.56
2001Apr,0.51
2001May,0.58
2001Jun,0.52
2001Jul,0.6
2001Aug,0.51
2001Sep,0.53
2001Oct,0.51
2001Nov,0.73
2001Dec,0.57
2002Jan,0.78
2002Feb,0.8
2002Mar,0.88
2002Apr,0.59
2002May,0.63
2002Jun,0.53
2002Jul,0.61
2002Aug,0.53
2002Sep,0.62
2002Oct,0.55
2002Nov,0.59
2002Dec,0.43
2003Jan,0.76
2003Feb,0.59
2003Mar,0.6
2003Apr,0.56
2003May,0.62
2003Jun,0.48
2003Jul,0.58
2003Aug,0.66
2003Sep,0.63
2003Oct,0.74
2003Nov,0.54
2003Dec,0.75
2004Jan,0.59
2004Feb,0.73
2004Mar,0.64
2004Apr,0.62
2004May,0.39
2004Jun,0.45
2004Jul,0.27
2004Aug,0.48
2004Sep,0.52
2004Oct,0.62
2004Nov,0.73
2004Dec,0.51
2005Jan,0.74
2005Feb,0.61
2005Mar,0.75
2005Apr,0.68
2005May,0.63
2005Jun,0.65
2005Jul,0.62
2005Aug,0.62
2005Sep,0.71
2005Oct,0.75
2005Nov,0.74
2005Dec,0.69
2006Jan,0.57
2006Feb,0.73
2006Mar,0.63
2006Apr,0.49
2006May,0.5
2006Jun,0.66
2006Jul,0.55
2006Aug,0.71
2006Sep,0.66
2006Oct,0.69
2006Nov,0.73
2006Dec,0.79
2007Jan,1.02
2007Feb,0.71
2007Mar,0.73
2007Apr,0.76
2007May,0.69
2007Jun,0.61
2007Jul,0.6
2007Aug,0.6
2007Sep,0.6
2007Oct,0.6
2007Nov,0.59
2007Dec,0.5
2008Jan,0.3
2008Feb,0.39
2008Mar,0.74
2008Apr,0.54
2008May,0.5
2008Jun,0.5
2008Jul,0.61
2008Aug,0.48
2008Sep,0.61
2008Oct,0.66
2008Nov,0.7
2008Dec,0.55
2009Jan,0.65
2009Feb,0.54
2009Mar,0.55
2009Apr,0.61
2009May,0.66
2009Jun,0.65
2009Jul,0.72
2009Aug,0.68
2009Sep,0.73
2009Oct,0.66
2009Nov,0.81
2009Dec,0.68
2010Jan,0.76
2010Feb,0.84
2010Mar,0.92
2010Apr,0.85
2010May,0.76
2010Jun,0.69
2010Jul,0.64
2010Aug,0.67
2010Sep,0.64
2010Oct,0.71
2010Nov,0.83
2010Dec,0.45
2011Jan,0.52
2011Feb,0.48
2011Mar,0.65
2011Apr,0.65
2011May,0.52
2011Jun,0.61
2011Jul,0.71
2011Aug,0.73
2011Sep,0.58
2011Oct,0.66
2011Nov,0.59
2011Dec,0.61
2012Jan,0.49
2012Feb,0.49
2012Mar,0.58
2012Apr,0.72
2012May,0.78
2012Jun,0.65
2012Jul,0.59
2012Aug,0.64
2012Sep,0.72
2012Oct,0.79
2012Nov,0.79
2012Dec,0.53
2013Jan,0.71
2013Feb,0.63
2013Mar,0.68
2013Apr,0.57
2013May,0.62
2013Jun,0.71
2013Jul,0.62
2013Aug,0.71
2013Sep,0.78
2013Oct,0.7
2013Nov,0.85
2013Dec,0.7
2014Jan,0.76
2014Feb,0.56
2014Mar,0.8
2014Apr,0.81
2014May,0.86
2014Jun,0.67
2014Jul,0.59
2014Aug,0.81
2014Sep,0.85
2014Oct,0.8
2014Nov,0.67
2014Dec,0.8
2015Jan,0.86
2015Feb,0.9
2015Mar,0.96
2015Apr,0.77
2015May,0.79
2015Jun,0.82
2015Jul,0.75
2015Aug,0.83
2015Sep,0.84
2015Oct,1.09
2015Nov,1.06
2015Dec,1.16
2016Jan,1.17
2016Feb,1.37
2016Mar,1.36
2016Apr,1.12
2016May,0.96
2016Jun,0.82
2016Jul,0.85
2016Aug,1.02
2016Sep,0.92
2016Oct,0.88
2016Nov,0.91
2016Dec,0.86
2017Jan,1.04
2017Feb,1.14
2017Mar,1.16
2017Apr,0.94
2017May,0.9
2017Jun,0.73
2017Jul,0.82
2017Aug,0.87
2017Sep,0.79
2017Oct,0.9
2017Nov,0.89
2017Dec,0.95
2018Jan,0.83
2018Feb,0.85
2018Mar,0.9
2018Apr,0.9
2018May,0.82
2018Jun,0.78
2018Jul,0.82
2018Aug,0.77
2018Sep,0.81
2018Oct,1
2018Nov,0.83
2018Dec,0.92
2019Jan,0.94
2019Feb,0.95
2019Mar,1.18
2019Apr,1.02
2019May,0.87
2019Jun,0.93
2019Jul,0.94
2019Aug,0.9
